date,datapoint,metric_key,value,unit,source_run,logged_at
2026-06-23,atmospheric_river,ivt_max,3973,kg/m/s,2026-06-23T18Z GFS,2026-06-24T11:01:55
2026-06-23,atmospheric_river,ivt_median,146.9,kg/m/s,2026-06-23T18Z GFS,2026-06-24T11:01:55
2026-06-23,no2_japan,no2_tokyo,9.074e-05,mol/m2,21d-mean 2026-06-02..2026-06-23,2026-06-23T23:33:46
2026-06-23,no2_japan,no2_osaka,6.383e-05,mol/m2,21d-mean 2026-06-02..2026-06-23,2026-06-23T23:33:47
2026-06-23,no2_japan,no2_nagoya,5.991e-05,mol/m2,21d-mean 2026-06-02..2026-06-23,2026-06-23T23:33:51
2026-06-23,no2_japan,no2_fukuoka,3.635e-05,mol/m2,21d-mean 2026-06-02..2026-06-23,2026-06-23T23:33:53
2026-06-23,no2_japan,no2_sapporo,1.757e-05,mol/m2,21d-mean 2026-06-02..2026-06-23,2026-06-23T23:33:54
2026-06-23,no2_japan,no2_okutama_ref,3.757e-05,mol/m2,21d-mean 2026-06-02..2026-06-23,2026-06-23T23:33:55
2026-06-24,no2_japan,no2_tokyo,9.074e-05,mol/m2,21d-mean 2026-06-03..2026-06-24,2026-06-24T11:01:03
2026-06-24,no2_japan,no2_osaka,6.383e-05,mol/m2,21d-mean 2026-06-03..2026-06-24,2026-06-24T11:01:05
2026-06-24,no2_japan,no2_nagoya,5.991e-05,mol/m2,21d-mean 2026-06-03..2026-06-24,2026-06-24T11:01:06
2026-06-24,no2_japan,no2_fukuoka,3.635e-05,mol/m2,21d-mean 2026-06-03..2026-06-24,2026-06-24T11:01:06
2026-06-24,no2_japan,no2_sapporo,2.017e-05,mol/m2,21d-mean 2026-06-03..2026-06-24,2026-06-24T11:01:07
2026-06-24,no2_japan,no2_okutama_ref,3.757e-05,mol/m2,21d-mean 2026-06-03..2026-06-24,2026-06-24T11:01:09
2026-06-25,no2_japan,no2_tokyo,9.074e-05,mol/m2,21d-mean 2026-06-04..2026-06-25,2026-06-25T11:04:05
2026-06-25,no2_japan,no2_osaka,6.517e-05,mol/m2,21d-mean 2026-06-04..2026-06-25,2026-06-25T11:04:08
2026-06-25,no2_japan,no2_nagoya,6.404e-05,mol/m2,21d-mean 2026-06-04..2026-06-25,2026-06-25T11:04:09
2026-06-25,no2_japan,no2_fukuoka,3.686e-05,mol/m2,21d-mean 2026-06-04..2026-06-25,2026-06-25T11:04:12
2026-06-25,no2_japan,no2_sapporo,2.048e-05,mol/m2,21d-mean 2026-06-04..2026-06-25,2026-06-25T11:04:13
2026-06-25,no2_japan,no2_okutama_ref,3.757e-05,mol/m2,21d-mean 2026-06-04..2026-06-25,2026-06-25T11:04:13
2026-06-24,atmospheric_river,ivt_max,3364,kg/m/s,2026-06-24T18Z GFS,2026-06-25T11:05:28
2026-06-24,atmospheric_river,ivt_median,210.9,kg/m/s,2026-06-24T18Z GFS,2026-06-25T11:05:28
2026-06-26,no2_japan,no2_tokyo,9.142e-05,mol/m2,21d-mean 2026-06-05..2026-06-26,2026-06-26T11:00:45
2026-06-26,no2_japan,no2_osaka,6.517e-05,mol/m2,21d-mean 2026-06-05..2026-06-26,2026-06-26T11:00:47
2026-06-26,no2_japan,no2_nagoya,6.404e-05,mol/m2,21d-mean 2026-06-05..2026-06-26,2026-06-26T11:00:48
2026-06-26,no2_japan,no2_fukuoka,3.686e-05,mol/m2,21d-mean 2026-06-05..2026-06-26,2026-06-26T11:00:50
2026-06-26,no2_japan,no2_sapporo,2.064e-05,mol/m2,21d-mean 2026-06-05..2026-06-26,2026-06-26T11:00:51
2026-06-26,no2_japan,no2_okutama_ref,3.757e-05,mol/m2,21d-mean 2026-06-05..2026-06-26,2026-06-26T11:00:51
2026-06-25,atmospheric_river,ivt_max,1846,kg/m/s,2026-06-25T18Z GFS,2026-06-26T11:01:30
2026-06-25,atmospheric_river,ivt_median,299.7,kg/m/s,2026-06-25T18Z GFS,2026-06-26T11:01:30
2026-06-28,no2_japan,no2_tokyo,0.0001105,mol/m2,21d-mean 2026-06-07..2026-06-28,2026-06-28T10:59:41
2026-06-28,no2_japan,no2_osaka,6.766e-05,mol/m2,21d-mean 2026-06-07..2026-06-28,2026-06-28T10:59:41
2026-06-28,no2_japan,no2_nagoya,5.928e-05,mol/m2,21d-mean 2026-06-07..2026-06-28,2026-06-28T10:59:42
2026-06-28,no2_japan,no2_fukuoka,3.526e-05,mol/m2,21d-mean 2026-06-07..2026-06-28,2026-06-28T10:59:42
2026-06-28,no2_japan,no2_sapporo,2.487e-05,mol/m2,21d-mean 2026-06-07..2026-06-28,2026-06-28T10:59:42
2026-06-28,no2_japan,no2_okutama_ref,3.456e-05,mol/m2,21d-mean 2026-06-07..2026-06-28,2026-06-28T10:59:43
2026-06-28,atmospheric_river,ivt_max,1001,kg/m/s,2026-06-28T18Z GFS,2026-06-29T02:03:48
2026-06-28,atmospheric_river,ivt_median,170.8,kg/m/s,2026-06-28T18Z GFS,2026-06-29T02:03:48
2026-06-29,no2_japan,no2_tokyo,0.0001107,mol/m2,21d-mean 2026-06-08..2026-06-29,2026-06-29T02:03:29
2026-06-29,no2_japan,no2_osaka,6.766e-05,mol/m2,21d-mean 2026-06-08..2026-06-29,2026-06-29T02:03:30
2026-06-29,no2_japan,no2_nagoya,6.154e-05,mol/m2,21d-mean 2026-06-08..2026-06-29,2026-06-29T02:03:30
2026-06-29,no2_japan,no2_fukuoka,3.526e-05,mol/m2,21d-mean 2026-06-08..2026-06-29,2026-06-29T02:03:31
2026-06-29,no2_japan,no2_sapporo,2.523e-05,mol/m2,21d-mean 2026-06-08..2026-06-29,2026-06-29T02:03:31
2026-06-29,no2_japan,no2_okutama_ref,3.456e-05,mol/m2,21d-mean 2026-06-08..2026-06-29,2026-06-29T02:03:32
2026-06-30,no2_japan,no2_tokyo,0.0001107,mol/m2,21d-mean 2026-06-09..2026-06-30,2026-06-30T02:02:26
2026-06-30,no2_japan,no2_osaka,6.766e-05,mol/m2,21d-mean 2026-06-09..2026-06-30,2026-06-30T02:02:26
2026-06-30,no2_japan,no2_nagoya,6.154e-05,mol/m2,21d-mean 2026-06-09..2026-06-30,2026-06-30T02:02:27
2026-06-30,no2_japan,no2_fukuoka,3.512e-05,mol/m2,21d-mean 2026-06-09..2026-06-30,2026-06-30T02:02:27
2026-06-30,no2_japan,no2_sapporo,2.518e-05,mol/m2,21d-mean 2026-06-09..2026-06-30,2026-06-30T02:02:27
2026-06-30,no2_japan,no2_okutama_ref,3.456e-05,mol/m2,21d-mean 2026-06-09..2026-06-30,2026-06-30T02:02:28
2026-06-29,atmospheric_river,ivt_max,903.5,kg/m/s,2026-06-29T18Z GFS,2026-06-30T02:02:47
2026-06-29,atmospheric_river,ivt_median,193.6,kg/m/s,2026-06-29T18Z GFS,2026-06-30T02:02:47
2026-07-01,no2_japan,no2_tokyo,0.0001105,mol/m2,21d-mean 2026-06-10..2026-07-01,2026-07-01T02:03:12
2026-07-01,no2_japan,no2_osaka,6.763e-05,mol/m2,21d-mean 2026-06-10..2026-07-01,2026-07-01T02:03:12
2026-07-01,no2_japan,no2_nagoya,5.961e-05,mol/m2,21d-mean 2026-06-10..2026-07-01,2026-07-01T02:03:13
2026-07-01,no2_japan,no2_fukuoka,3.512e-05,mol/m2,21d-mean 2026-06-10..2026-07-01,2026-07-01T02:03:13
2026-07-01,no2_japan,no2_sapporo,2.5e-05,mol/m2,21d-mean 2026-06-10..2026-07-01,2026-07-01T02:03:14
2026-07-01,no2_japan,no2_okutama_ref,3.566e-05,mol/m2,21d-mean 2026-06-10..2026-07-01,2026-07-01T02:03:14
2026-06-30,atmospheric_river,ivt_max,1402,kg/m/s,2026-06-30T18Z GFS,2026-07-01T02:03:30
2026-06-30,atmospheric_river,ivt_median,220.8,kg/m/s,2026-06-30T18Z GFS,2026-07-01T02:03:30
2026-07-02,no2_japan,no2_tokyo,0.0001122,mol/m2,21d-mean 2026-06-11..2026-07-02,2026-07-02T11:23:06
2026-07-02,no2_japan,no2_osaka,7.344e-05,mol/m2,21d-mean 2026-06-11..2026-07-02,2026-07-02T11:23:07
2026-07-02,no2_japan,no2_nagoya,6.027e-05,mol/m2,21d-mean 2026-06-11..2026-07-02,2026-07-02T11:23:07
2026-07-02,no2_japan,no2_fukuoka,3.605e-05,mol/m2,21d-mean 2026-06-11..2026-07-02,2026-07-02T11:23:07
2026-07-02,no2_japan,no2_sapporo,2.615e-05,mol/m2,21d-mean 2026-06-11..2026-07-02,2026-07-02T11:23:08
